 primalDim  primalFOM  dualDim  dualFOM  sameProj 
      4    0.174882      3    0.0644405    0
      2    0.148534      2    0.148534    2
      3    0.214099      3    0.208627    0
      2    0.0224456      2    0.0224456    2
      3    0.0967283      2    0.143722    0
      3    0.172925      3    0.117324    3
      3    0.146795      3    0.148042    0
      3    0.126854      4    0.101774    0
      2    0.153137      2    0.153137    2
      2    0.0978      2    0.0978    2
      4    0.234056      3    0.193123    0
      3    0.172697      3    0.206962    0
      3    0.10553      2    0.126008    0
      3    0.119988      3    0.212462    0
      4    0.157875      3    0.115341    0
      2    0.178924      3    0.151126    0
      3    0.161001      2    0.169448    0
      3    0.176596      3    0.0690491    3
      3    0.161798      3    0.200929    3
      4    0.155791      4    0.193103    4
      2    0.20332      3    0.182476    0
      3    0.17493      2    0.216585    0
      4    0.121133      3    0.171169    0
      3    0.121112      3    0.232344    3
      3    0.150437      4    0.136545    0
      3    0.114497      2    0.120325    0
      2    0.166252      2    0.166252    2
      3    0.150951      3    0.153399    0
      4    0.226247      4    0.219858    0
      2    0.112669      2    0.112669    2
      2    0.0627332      2    0.0627332    2
      3    0.136931      3    0.211009    3
      3    0.116434      4    0.136545    0
      3    0.152861      2    0.156339    0
      4    0.20881      3    0.164058    0
      2    0.0951461      2    0.0951461    2
      2    0.103403      2    0.103403    2
      2    0.163687      2    0.163687    2
      2    0.0259922      2    0.0259922    2
      3    0.201175      4    0.21186    0
      3    0.180886      3    0.145949    0
      2    0.0867364      2    0.0867364    2
      3    0.250693      3    0.125862    3
      4    0.245884      3    0.224773    0
      3    0.187762      4    0.101774    0
      2    0.201681      4    0.13139    0
      2    0.0384389      2    0.0384389    2
      3    0.188885      3    0.112984    0
      2    0.0528744      2    0.0528744    2
      3    0.111264      3    0.148042    0
      3    0.109382      4    0.0910298    0
      3    0.170374      4    0.0695251    0
      3    0.203699      3    0.179502    0
      2    0.160242      4    0.153226    0
      2    0.149245      2    0.149245    2
      2    0.0947808      2    0.0947808    2
      3    0.228416      3    0.0831923    0
      2    0.0906475      2    0.0906475    2
      2    0.17018      2    0.17018    2
      3    0.178195      3    0.123394    0
      3    0.133868      4    0.201845    0
      4    0.246688      2    0.26166    0
      3    0.199292      3    0.139759    3
      2    0.154551      2    0.154551    2
      3    0.0904035      3    0.0263077    0
      2    0.0429832      2    0.0429832    2
      3    0.0780653      3    0.089858    3
      3    0.195044      3    0.127078    0
      3    0.116339      3    0.172288    0
      2    0.231274      2    0.231274    2
      3    0.0931014      4    0.176278    0
      2    0.11373      2    0.11373    2
      3    0.210136      4    0.183946    0
      3    0.115074      3    0.24896    0
      3    0.121552      3    0.085021    3
      2    0.0849906      2    0.0849906    2
      2    0.221837      3    0.110228    0
      3    0.116194      2    0.136395    0
      3    0.122362      3    0.265116    3
      3    0.136016      3    0.0881298    3
      2    0.0978887      2    0.0978887    2
      3    0.0945117      4    0.136545    0
      2    0.166252      3    0.0984345    0
      3    0.102217      2    0.1164    0
      2    0.0612139      2    0.0612139    2
      3    0.146695      3    0.085021    0
      3    0.119965      3    0.190718    0
      3    0.190665      3    0.211555    0
      3    0.101361      3    0.176695    0
      4    0.0997859      2    0.146319    0
      4    0.201739      3    0.151381    0
      4    0.177866      3    0.0964617    0
      4    0.176007      4    0.180153    0
      2    0.0925455      2    0.0925455    2
      2    0.0274751      2    0.0274751    2
      2    0.165433      3    0.105959    0
      3    0.169624      4    0.159843    0
      3    0.178806      3    0.256266    0
      4    0.112961      4    0.150956    0
      4    0.200753      4    0.206913    0
      2    0.0855475      2    0.0855475    2
      3    0.104157      3    0.0794089    3
      4    0.207751      3    0.200354    0
      4    0.180136      3    0.127983    0
      4    0.104905      3    0.111269    0
      4    0.216045      4    0.0525561    4
      3    0.103889      3    0.119597    0
      3    0.225378      4    0.185814    0
      4    0.136769      4    0.0947468    0
      3    0.193786      3    0.231681    3
      3    0.0761765      3    0.197259    3
      2    0.114328      2    0.114328    2
      4    0.1084      3    0.180783    0
      3    0.0738152      3    0.151634    0
      4    0.145309      3    0.158333    0
      2    0.102742      2    0.102742    2
      2    0.201049      2    0.201049    2
      2    0.188471      2    0.188471    2
      3    0.18117      3    0.185817    0
      2    0.13814      2    0.13814    2
      3    0.159626      3    0.168908    0
      3    0.180376      3    0.227494    3
      4    0.215674      3    0.233005    0
      4    0.20467      3    0.192524    0
      3    0.133984      3    0.0915536    3
      3    0.102638      4    0.178226    0
      3    0.0951152      2    0.101838    0
      2    0.0963709      2    0.0963709    2
      3    0.132816      4    0.180153    0
      3    0.191353      3    0.0968595    0
      3    0.150349      2    0.22917    0
      2    0.0377998      2    0.0377998    2
      2    0.11373      2    0.11373    2
      2    0.126561      2    0.126561    2
      2    0.148471      4    0.0947468    0
      2    0.0932346      2    0.0932346    2
      4    0.150415      2    0.237933    0
      3    0.196906      2    0.220553    0
      2    0.0274751      2    0.0274751    2
      3    0.159055      3    0.153399    0
      2    0.152691      4    0.0695251    0
      4    0.145606      3    0.174285    0
      2    0.130494      3    0.101132    0
      2    0.150064      3    0.135001    0
      3    0.0284656      3    0.132992    3
      2    0.156727      2    0.156727    2
      3    0.178691      3    0.135001    0
      2    0.115105      2    0.115105    2
      2    0.163305      4    0.161989    0
      2    0.110358      2    0.110358    2
      2    0.151049      2    0.151049    2
      2    0.118635      2    0.118635    2
      3    0.129548      2    0.146319    0
      2    0.0741713      2    0.0741713    2
      4    0.146695      3    0.226986    0
      3    0.141423      3    0.124942    3
      2    0.157379      2    0.157379    2
      2    0.0627332      3    0.0503755    0
      3    0.0932982      3    0.108823    0
      2    0.126008      2    0.126008    2
      4    0.12096      2    0.210678    0
      3    0.136078      4    0.236502    0
      2    0.208544      3    0.193917    0
      2    0.176433      2    0.176433    2
      3    0.214076      4    0.203549    0
      2    0.197863      3    0.174946    0
      3    0.118701      3    0.165225    3
      3    0.0972588      3    0.0480311    0
      4    0.1707      2    0.180859    0
      3    0.135149      3    0.106321    3
      2    0.153137      2    0.153137    2
      4    0.144232      4    0.136545    4
      2    0.158667      3    0.153399    0
      3    0.0974475      2    0.0978887    0
      2    0.229582      4    0.185814    0
      3    0.151006      3    0.193917    0
      4    0.269583      4    0.206913    4
      3    0.167026      3    0.157114    0
      4    0.182833      3    0.124325    0
      4    0.184585      3    0.0907098    0
      2    0.107779      2    0.107779    2
      2    0.174349      3    0.086367    0
      3    0.139432      4    0.143931    0
      3    0.213326      4    0.213484    0
      3    0.110429      2    0.212271    0
      3    0.10019      3    0.100369    3
      4    0.151794      3    0.177347    0
      2    0.0974489      2    0.0974489    2
      3    0.143923      3    0.102641    0
      4    0.199273      3    0.120876    0
      3    0.0726203      3    0.214264    0
      3    0.131147      3    0.104129    3
      2    0.119      2    0.119    2
      3    0.0831218      3    0.13754    0
      2    0.126483      2    0.126483    2
      3    0.11884      3    0.190718    0
      3    0.137116      2    0.164213    0
      4    0.187082      2    0.200135    0
      3    0.0585122      2    0.0859328    0
      4    0.227355      3    0.122141    0
      4    0.150926      3    0.126775    0
      3    0.190811      3    0.109176    0
      3    0.197732      2    0.210748    0
      4    0.127432      3    0.147261    0
      2    0.0756268      2    0.0756268    2
      3    0.226678      3    0.101511    3
      3    0.0802795      2    0.0991253    0
      3    0.127668      4    0.194883    0
      3    0.144661      4    0.136545    0
      2    0.109256      2    0.109256    2
      2    0.0259922      2    0.0259922    2
      4    0.163805      2    0.262321    0
      2    0.0180391      2    0.0180391    2
      4    0.237562      4    0.111488    0
      3    0.107707      2    0.120736    0
      2    0.0995618      2    0.0995618    2
      3    0.112772      4    0.153226    0
      3    0.10653      3    0.0712417    0
      3    0.231927      4    0.203549    0
      2    0.107519      2    0.107519    2
      3    0.1068      3    0.136135    3
      3    0.191056      3    0.18767    0
      3    0.185571      3    0.0984345    0
      3    0.237731      4    0.250676    0
      3    0.138796      3    0.131831    0
      2    0.0194491      2    0.0194491    2
      3    0.223818      3    0.132992    3
      4    0.275442      3    0.230182    0
      3    0.189097      3    0.136135    0
      2    0.159361      2    0.159361    2
      3    0.112429      2    0.160242    0
      3    0.205986      3    0.132122    0
      4    0.0851242      2    0.0874807    0
      4    0.108179      4    0.161989    0
      4    0.177614      3    0.129773    0
      2    0.0572613      2    0.0572613    2
      3    0.130396      3    0.0540572    0
      4    0.105093      3    0.198037    0
      3    0.215623      4    0.200128    0
      3    0.15411      3    0.138931    0
      3    0.208208      3    0.213545    0
      2    0.195171      2    0.195171    2
      2    0.126483      2    0.126483    2
      2    0.163687      2    0.163687    2
      2    0.0614362      2    0.0614362    2
      3    0.0883276      2    0.143722    0
      3    0.0763316      3    0.0613847    3
      3    0.153711      3    0.129773    3
      3    0.140793      3    0.148042    0
      3    0.21787      3    0.119918    0
      2    0.0274751      2    0.0274751    2
      2    0.153137      2    0.153137    2
      2    0.156339      2    0.156339    2
      2    0.0811275      2    0.0811275    2
      2    0.0641651      2    0.0641651    2
      2    0.129741      2    0.129741    2
      3    0.157104      2    0.192652    0
      3    0.10553      3    0.117978    0
      2    0.1325      3    0.101511    0
      2    0.0590717      2    0.0590717    2
      3    0.112403      2    0.115503    0
      3    0.0326432      2    0.0597459    0
      2    0.158688      3    0.143826    0
      3    0.132717      2    0.169448    0
      2    0.143247      2    0.143247    2
      2    0.0308723      2    0.0308723    2
      3    0.23166      2    0.250579    0
      4    0.1878      3    0.114673    0
      3    0.200271      3    0.221499    0
      2    0.112987      2    0.112987    2
      3    0.145466      3    0.164058    3
      4    0.0862149      3    0.0881298    0
      3    0.13863      4    0.136545    0
      3    0.134712      3    0.133857    3
      3    0.171265      4    0.133992    0
      3    0.150437      3    0.0980431    0
      2    0.0402443      2    0.0402443    2
      2    0.0805348      2    0.0805348    2
      4    0.121804      3    0.125556    0
      2    0.212644      3    0.130659    0
      4    0.0677646      3    0.127078    0
      2    0.0662922      2    0.0662922    2
      3    0.259038      3    0.228169    0
      3    0.180254      3    0.196478    0
      3    0.138265      3    0.165922    0
      4    0.168531      3    0.161459    0
      3    0.135101      4    0.164106    0
      4    0.119901      3    0.0915536    0
      3    0.0885389      3    0.139759    0
      2    0.194484      2    0.194484    2
      2    0.20856      4    0.183946    0
      3    0.168822      3    0.230349    0
      3    0.116809      3    0.176041    0
      2    0.103403      2    0.103403    2
      2    0.215791      2    0.215791    2
      4    0.130858      3    0.0932183    0
